,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
HMGCS1,37,0.9547368545789975,28,-1.7380347255291917
MCM5,37,0.9786046292330768,21,-1.555110687990194
THAP1,37,0.9126648075945744,15,-1.5358835606421894
CCT6A,37,0.9734054116515427,18,-1.5319568886543762
UTP20,37,0.9671121996802252,18,-1.4851701001995958
EIF1,37,0.9487823366044876,14,-1.485170317693241
SSRP1,37,0.9668426153896095,15,-1.4127908214035736
WDR82,37,0.9676137813576705,23,-1.5901490041098665
RBBP4,37,0.9623891040011567,25,-1.5982454885989377
DYNLRB1,37,0.9658537469468674,28,-1.955333319790217
EXOSC6,37,0.9543127476632057,27,-1.675962029394595
EXOSC4,37,0.9258993770088163,21,-1.5554791166095405
PMF1,37,0.9612226797653747,23,-1.562310318457176
SUPT6H,37,0.9774261482127079,34,-2.0451894849667087
TUBG1,37,0.9701273989033057,21,-1.5475329550603856
MED30,37,0.9725747795792312,33,-2.078214565207458
SNRPA1,37,0.9837386790696566,36,-2.8504458574097895
USP39,37,0.938436102222752,22,-1.5625872162804086
PRC1,37,0.9650767842928566,18,-1.4042920522539197
PSMA4,37,0.9687049909754917,14,-1.416389990488155
EIF3F,37,0.971418005926115,23,-1.5953599708902237
TPX2,37,0.9224664716570227,12,-1.3031304227242735
CCT8,37,0.9515201207753774,15,-1.4730278943920645
HINFP,37,0.9337443124066603,27,-1.6512156885033988
PDCD11,37,0.8685948671521367,8,-1.3321419969599617
SMC4,37,0.9696732813173586,22,-1.549299116106237
RPS25,37,0.8871931159818495,10,-1.3509444332013218
DUT,37,0.9707150018966949,31,-1.8217677227696414
KANSL2,37,0.9312680948961961,11,-1.1884499852723394
SLU7,37,0.8635199902293919,10,-1.3296251108355026
SCFD1,37,0.8745378067901544,9,-1.2701869513997408
QARS1,37,0.9517857614938205,30,-1.786382751644256
SEC61A1,37,0.9628630414739384,28,-1.6732481574651568
UBE2M,37,0.9611275341059708,20,-1.5238860051722345
RPS2,37,0.9444221113179181,16,-2.0206527738360656
U2SURP,37,0.9462962016329036,11,-1.3495674368815365
CDCA8,37,0.9484917231508202,17,-1.429252867877383
HNRNPH1,37,0.9434356388745008,14,-1.3720095829882142
NUBP1,37,0.9425484747500033,11,-1.3326438978502566
STX5,37,0.8367042501230497,8,-1.2951855033022959
RACGAP1,37,0.9442786348832618,16,-1.4646867305329503
OGT,37,0.9693685147139404,27,-1.6645829835936463
TCP1,37,0.97559669264802,26,-1.65302164692658
RPP21,37,0.9651507504351503,18,-1.5309982510670475
RABGGTB,37,0.9144856178008759,16,-1.4601240100401904
UPF1,37,0.9437601764996846,13,-1.3419107626967977
EIF5,37,0.926340678790668,9,-1.3073492388192727
CDK1,37,0.9719955867475221,35,-2.428208693977646
